,movie,chapter,character,dialog,gender,releaseYear,processed_tokens,processed_text,preprocessed_tokens,preprocessed_text
70,Harry Potter and the Half-Blood Prince,Horace Slughorn,horace slughorn,oh but you mustn't think i'm prejudiced!  no no no! your mother was one of my absolute favorites!  look there she is right up front,male,2009,"['oh', 'must', 'not', 'think', 'I', 'prejudiced', '!', '!', 'mother', 'one', 'absolute', 'favorite', '!', 'look', 'right', 'front']",oh must not think I prejudiced ! ! mother one absolute favorite ! look right front,"['oh', 'must', 'not', 'think', 'I', 'prejudiced', '!', '!', 'mother', 'one', 'absolute', 'favorite', '!', 'look', 'right', 'front']",oh must not think I prejudiced ! ! mother one absolute favorite ! look right front
71,Harry Potter and the Half-Blood Prince,Horace Slughorn,horace slughorn,all mine each and every one  ex students i mean  you recognize barnubas cuffe of course editor of the daily prophet,male,2009,"['mine', 'every', 'one', 'ex', 'student', 'I', 'mean', 'recognize', 'barnubas', 'cuffe', 'course', 'editor', 'daily', 'prophet']",mine every one ex student I mean recognize barnubas cuffe course editor daily prophet,"['mine', 'every', 'one', 'ex', 'student', 'I', 'mean', 'recognize', 'barnubas', 'cuffe', 'course', 'editor', 'daily', 'prophet']",mine every one ex student I mean recognize barnubas cuffe course editor daily prophet
72,Harry Potter and the Half-Blood Prince,Horace Slughorn,horace slughorn,always takes my owl should i want to register my opinion on the news of the day  and there's ambrosius flume of honeydukes  sends a hamper of chocolate to the house each birthday  that is when i had a house  and gwenog jones captain of the holyhead harpies  free tickets whenever i want them of course i haven't been to a match in some time,male,2009,"['always', 'take', 'owl', 'I', 'want', 'register', 'opinion', 'news', 'day', ""'"", 'ambrosius', 'flume', 'honeyduke', 'send', 'hamper', 'chocolate', 'house', 'birthday', 'I', 'house', 'gwenog', 'jones', 'captain', 'holyhead', 'harpie', 'free', 'ticket', 'whenever', 'I', 'want', 'course', 'I', 'not', 'match', 'time']",always take owl I want register opinion news day ' ambrosius flume honeyduke send hamper chocolate house birthday I house gwenog jones captain holyhead harpie free ticket whenever I want course I not match time,"['always', 'take', 'owl', 'I', 'want', 'register', 'opinion', 'news', 'day', ""'"", 'ambrosius', 'flume', 'honeyduke', 'send', 'hamper', 'chocolate', 'house', 'birthday', 'I', 'house', 'gwenog', 'jones', 'captain', 'holyhead', 'harpie', 'free', 'ticket', 'whenever', 'I', 'want', 'course', 'I', 'not', 'match', 'time']",always take owl I want register opinion news day ' ambrosius flume honeyduke send hamper chocolate house birthday I house gwenog jones captain holyhead harpie free ticket whenever I want course I not match time
73,Harry Potter and the Half-Blood Prince,Horace Slughorn,horace slughorn,ah yes  regulus black  you no doubt know of his older brother sirius  died a few weeks ago  i taught the whole black family except sirius  shame  talented boy  i got regulus when he came along of course but i'd have liked the set,male,2009,"['ah', 'yes', 'regulus', 'black', 'doubt', 'know', 'old', 'brother', 'sirius', 'die', 'week', 'ago', 'I', 'teach', 'whole', 'black', 'family', 'except', 'sirius', 'shame', 'talented', 'boy', 'I', 'get', 'regulus', 'come', 'along', 'course', 'I', 'would', 'like', 'set']",ah yes regulus black doubt know old brother sirius die week ago I teach whole black family except sirius shame talented boy I get regulus come along course I would like set,"['ah', 'yes', 'regulus', 'black', 'doubt', 'know', 'old', 'brother', 'sirius', 'die', 'week', 'ago', 'I', 'teach', 'whole', 'black', 'family', 'except', 'sirius', 'shame', 'talented', 'boy', 'I', 'get', 'regulus', 'come', 'along', 'course', 'I', 'would', 'like', 'set']",ah yes regulus black doubt know old brother sirius die week ago I teach whole black family except sirius shame talented boy I get regulus come along course I would like set
74,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,mind if i take this  i do love knitting patterns,male,2009,"['mind', 'I', 'take', 'I', 'love', 'knit', 'pattern']",mind I take I love knit pattern,"['mind', 'I', 'take', 'I', 'love', 'knit', 'pattern']",mind I take I love knit pattern
75,Harry Potter and the Half-Blood Prince,Horace Slughorn,horace slughorn,of course  but you're not leaving,male,2009,"['course', 'not', 'leave']",course not leave,"['course', 'not', 'leave']",course not leave
76,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,i think i know a lost cause when i see one  regrettable  i would have considered it a personal triumph had you consented to return to hogwarts horace  you are like my friend mr potter  one of a kind,male,2009,"['I', 'think', 'I', 'know', 'lost', 'cause', 'I', 'see', 'one', 'regrettable', 'I', 'would', 'consider', 'personal', 'triumph', 'consent', 'return', 'hogwart', 'horace', 'like', 'friend', 'mr', 'potter', 'one', 'kind']",I think I know lost cause I see one regrettable I would consider personal triumph consent return hogwart horace like friend mr potter one kind,"['I', 'think', 'I', 'know', 'lost', 'cause', 'I', 'see', 'one', 'regrettable', 'I', 'would', 'consider', 'personal', 'triumph', 'consent', 'return', 'hogwart', 'horace', 'like', 'friend', 'mr', 'potter', 'one', 'kind']",I think I know lost cause I see one regrettable I would consider personal triumph consent return hogwart horace like friend mr potter one kind
77,Harry Potter and the Half-Blood Prince,Horace Slughorn,horace slughorn,all right!  i'll do it  but i'll be wanting professor merrythought's old office not that water closet i had formerly and i expect a raise!  these are mad times we live in!  mad!,male,2009,"['right', '!', 'I', 'I', 'want', 'professor', 'merrythought', ""'s"", 'old', 'office', 'not', 'water', 'closet', 'I', 'formerly', 'I', 'expect', 'raise', '!', 'mad', 'time', 'live', '!', 'mad', '!']",right ! I I want professor merrythought 's old office not water closet I formerly I expect raise ! mad time live ! mad !,"['right', '!', 'I', 'I', 'want', 'professor', 'merrythought', ""'s"", 'old', 'office', 'not', 'water', 'closet', 'I', 'formerly', 'I', 'expect', 'raise', '!', 'mad', 'time', 'live', '!', 'mad', '!']",right ! I I want professor merrythought 's old office not water closet I formerly I expect raise ! mad time live ! mad !
78,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,indeed they are,male,2009,['indeed'],indeed,['indeed'],indeed
79,Harry Potter and the Half-Blood Prince,Horace Slughorn,harry potter,sir exactly what was that all,male,2009,"['sir', 'exactly']",sir exactly,"['sir', 'exactly']",sir exactly
80,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,you are talented famous and powerful  everything horace values  professor slughorn is going to try to collect you harry  you would be his crowning jewel  that is why he is returning to hogwarts  and it is crucial he return,male,2009,"['talente', 'famous', 'powerful', 'everything', 'horace', 'value', 'professor', 'slughorn', 'go', 'try', 'collect', 'harry', 'would', 'crown', 'jewel', 'return', 'hogwart', 'crucial', 'return']",talente famous powerful everything horace value professor slughorn go try collect harry would crown jewel return hogwart crucial return,"['talente', 'famous', 'powerful', 'everything', 'horace', 'value', 'professor', 'slughorn', 'go', 'try', 'collect', 'harry', 'would', 'crown', 'jewel', 'return', 'hogwart', 'crucial', 'return']",talente famous powerful everything horace value professor slughorn go try collect harry would crown jewel return hogwart crucial return
